R-id,class,reactions,cluster
48358,1,C#CCBr.CC1(C)NC(=O)N(Cc2ccccc2)C1=O>>C#CCN1C(=O)N(Cc2ccccc2)C(=O)C1(C)C.Br,0
27953,1,C=CB1OC(C)(C)C(C)(C)O1.CCn1nc(C2CC2)cc1NCc1c(Cl)nc(OC)nc1OC>>C=Cc1nc(OC)nc(OC)c1CNc1cc(C2CC2)nn1CC.CC1(C)OB(Cl)OC1(C)C,1
46325,1,CCOC(=O)c1ccc(N)cc1.CO[C@@H](c1ccccc1)c1nc2cc(F)c(F)cc2n1C(C(=O)O)C1CCCCC1>>CCOC(=O)c1ccc(NC(=O)C(C2CCCCC2)n2c([C@@H](OC)c3ccccc3)nc3cc(F)c(F)cc32)cc1.O,2
39695,2,CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(N)ccc3N2)c(O)c2cccnc21.O=S(=O)(Cl)c1cccs1>>CC(C)CCn1c(=O)c(C2=NS(=O)(=O)c3cc(NS(=O)(=O)c4cccs4)ccc3N2)c(O)c2cccnc21.Cl,3
49705,6,COC(=O)Cc1coc2ccccc12.O.[H].[H].[H].[H]>>OCCc1coc2ccccc12.CO.O,4
32452,7,BrCBr.CN1CCCC1.Cl>>Br.[Cl-].C[N+]1(CBr)CCCC1,5
12208,2,CN(C)C=O.Clc1ccc2[nH]ccc2c1>>O=Cc1c[nH]c2ccc(Cl)cc12.CNC,6
8396,3,CCC(=O)Cl.CN(Cc1ccc(-c2nnc(-c3nc(C4=CCC(N)CC4)cnc3NC(=O)OC(C)(C)C)o2)cc1)C(=O)OC(C)(C)C>>CCC(=O)NC1CC=C(c2cnc(NC(=O)OC(C)(C)C)c(-c3nnc(-c4ccc(CN(C)C(=O)OC(C)(C)C)cc4)o3)n2)CC1.Cl,7
36423,6,CCCC(C)Nc1ccccc1.CCCCCCCBr>>CCCCCCCN(c1ccccc1)C(C)CCC.Br,0
2516,1,CCCCCCc1ccc(-c2ccc([C@@H]3CC[C@@H](CO)CC3)cc2)nc1.[O]>>CCCCCCc1ccc(-c2ccc([C@@H]3CC[C@@H](C=O)CC3)cc2)nc1.O,8
28706,3,COC(=O)CCBr.O=C(Nc1ccccc1-c1ccccc1)OC1CCNCC1>>COC(=O)CCN1CCC(OC(=O)Nc2ccccc2-c2ccccc2)CC1.Br,0
47907,6,Clc1nc(N2CCC2)c2nc(Cl)c(Cl)nc2n1.O[C@@H]1CCOC1>>Clc1nc(N2CCC2)c2nc(Cl)c(O[C@@H]3CCOC3)nc2n1.Cl,9
2186,1,CC(C)(C)OC(=O)NCCC(=O)O.CC(C)(N)CO>>CC(C)(CO)NC(=O)CCNC(=O)OC(C)(C)C.O,2
27748,2,CCCCOc1ccc(N)cc1.O=C(O)Cc1ccccc1Br>>CCCCOc1ccc(Nc2ccccc2CC(=O)O)cc1.Br,0
7763,6,CN1CC=C(C(=O)O)CC1.NC(=O)c1c(-c2ccc(Oc3ccccc3)cc2)nn(C2CCCNC2)c1N>>CN1CC=C(C(=O)N2CCCC(n3nc(-c4ccc(Oc5ccccc5)cc4)c(C(N)=O)c3N)C2)CC1.O,2
24855,1,Fc1cnc(Cl)nc1Nc1ccc2c(c1)OCCO2.Nc1cccc(C(F)(F)F)c1>>Fc1cnc(Nc2cccc(C(F)(F)F)c2)nc1Nc1ccc2c(c1)OCCO2.Cl,7
16762,6,Nc1ccc(OCc2ccccc2)cc1O.O=C=Nc1ccc(Cl)c(C(F)(F)F)c1>>O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(OCc2ccccc2)cc1O,10
19824,2,CCOC(=O)c1cc(CC)sc1N.NC=O>>CCc1cc2c(=O)[nH]cnc2s1.CCO.O,11
30683,1,CC(C)(C)OC(=O)N1CCC(=O)CC1.N#Cc1ccc(N)cc1.[H].[H]>>CC(C)(C)OC(=O)N1CCC(Nc2ccc(C#N)cc2)CC1.O,12
5284,7,O=S(=O)(Cl)c1cccc(CBr)c1.OC1CCNCC1>>O=S(=O)(c1cccc(CBr)c1)N1CCC(O)CC1.Cl,3
38745,6,BrCCCBr.Sc1ccc(Cl)cc1>>Clc1ccc(SCCCBr)cc1.Br,13
21536,2,N#Cc1ccc(C(F)(F)F)cc1N.NS(=O)(=O)Cl>>N#Cc1ccc(C(F)(F)F)cc1NS(N)(=O)=O.Cl,3
3233,2,COc1cc2ncnc(Cl)c2cc1O[C@@H]1CC[C@@H](N2CCN(C)C(=O)C2)CC1.Nc1cccc(Cl)c1F>>COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1O[C@@H]1CC[C@@H](N2CCN(C)C(=O)C2)CC1.Cl,7
10019,1,COC(=O)c1ccc2nc(N3CCSc4ccccc4C3)cc(Cl)c2c1.N>>NC(=O)c1ccc2nc(N3CCSc4ccccc4C3)cc(Cl)c2c1.CO,2
7052,2,CC(C)(C)NC(=O)c1cn(COCC[Si](C)(C)C)c2ncc(Br)nc12.CS(=O)(=O)c1ccc(N)cc1>>CC(C)(C)NC(=O)c1cn(COCC[Si](C)(C)C)c2ncc(Nc3ccc(S(C)(=O)=O)cc3)nc12.Br,0
37716,3,CO.O=C1c2ccc(Br)cc2CN1Cc1ccccc1>>COc1ccc2c(c1)CN(Cc1ccccc1)C2=O.Br,14
10184,2,CC1(C)OB(C2CC2)OC1(C)C.COC(=O)c1nn(COCC[Si](C)(C)C)c2ncc(Br)cc12>>COC(=O)c1nn(COCC[Si](C)(C)C)c2ncc(C3CC3)cc12.CC1(C)OB(Br)OC1(C)C,15
31348,1,CN1CCNCC1.C[C@@H]1Cc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c23>>C[C@@H]1Cc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.F,16
31776,2,O=Cc1cc2nc(Cl)nc(N3CCOCC3)c2s1.O=S(=O)(c1nccs1)C1CCNCC1.[H].[H]>>O=S(=O)(c1nccs1)C1CCN(Cc2cc3nc(Cl)nc(N4CCOCC4)c3s2)CC1.O,12
38522,2,CC(C)(O)CN.O=[N+]([O-])c1cnc2cc(OCc3ccccc3)ccc2c1Cl>>CC(C)(O)CNc1c([N+](=O)[O-])cnc2cc(OCc3ccccc3)ccc12.Cl,7
41492,2,FC(F)(F)c1ccc(Cl)nc1.O=C(C1CC12CCNCC2)N1CCN(C2CCCCC2)CC1>>O=C(C1CC12CCN(c1ccc(C(F)(F)F)cn1)CC2)N1CCN(C2CCCCC2)CC1.Cl,7
1569,6,O=C(CCCl)N1CCCC1.N#CS[Na]>>N#CSCCC(=O)N1CCCC1.[Na]Cl,17
43901,3,CC(C)(C)OC(=O)N1CC(F)(F)C[C@H]1CNc1cccc(Cl)c1.O>>FC1(F)CN[C@H](CNc2cccc(Cl)c2)C1.CC(C)(C)OC(=O)O,18
17710,2,C1COCCN1.CC1(C)O[C@@H]2O[C@@H](C(=O)O)[C@@H](O)[C@@H]2O1>>CC1(C)O[C@@H]2O[C@@H](C(=O)N3CCOCC3)[C@@H](O)[C@@H]2O1.O,2
26540,7,CC(C)(C)OC(=O)N1CCC(=Cc2cccc(OCc3ccccc3)c2)CC1.O>>C(=C1CCNCC1)c1cccc(OCc2ccccc2)c1.CC(C)(C)OC(=O)O,18
25234,1,CN.Fc1cc2ncnc(Nc3cccc(Br)c3)c2cn1>>CNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1.F,16
24341,2,CC[C@H](C)[C@H](NC(=O)n1c(=O)n(CCN2CCOCC2)c2ccccc21)C(=O)O.CNC>>CC[C@H](C)[C@H](NC(=O)n1c(=O)n(CCN2CCOCC2)c2ccccc21)C(=O)N(C)C.O,2
17809,2,CCNCC.O=C(NC(=O)c1cc(-n2cccn2)ccc1Cl)Nc1nc2ccc(S(=O)(=O)CCCI)cc2s1>>CCN(CC)CCCS(=O)(=O)c1ccc2nc(NC(=O)NC(=O)c3cc(-n4cccn4)ccc3Cl)sc2c1.I,19
14650,7,CC[Si](C#CC(C)(O)CF)(CC)CC.NC(=O)c1nc2n(c1CN1CCOCC1)CCOc1ccc(Br)cc1-2>>CC(O)(C#Cc1ccc2c(c1)-c1nc(C(N)=O)c(CN3CCOCC3)n1CCO2)CF.CC[Si](Br)(CC)CC,20
6690,6,NC(=O)c1cc([N+](=O)[O-])ccc1Cl.OCc1cccc(F)c1>>NC(=O)c1cc([N+](=O)[O-])ccc1OCc1cccc(F)c1.Cl,9
